system,LinguaPy,metricx_qe_score,QEMetricX_24-Strict-linguapy,xcomet_qe_score,XCOMET-QE-Strict-linguapy
whisper,-0.46242774566473993,59.602731131680436,59.54460428298553,48.71548793908488,48.64698055162595
seamlessm4t,-0.46242774566473993,61.29109753818181,61.133068830842916,49.316031299100786,49.18365868292965
canary-v2,-0.3468208092485549,46.806205538518164,46.780026951415,35.14768261395158,35.1107163886362
owsm4.0-ctc,-3.005780346820809,26.61486759929987,26.41025066458421,18.24281002830908,17.739164595831337
gemma_whisper,-0.23121387283236997,65.32029791057454,65.25092125945008,54.867979890715354,54.81221458696992
tower_whisper,-1.3872832369942196,65.57924838231477,65.55785710356828,55.867019682218235,55.60405730576701
aya_whisper,-0.23121387283236997,67.5985414583559,67.58686799079697,57.62020393656944,57.59213698101957
aya_seamlessm4t,-0.11560693641618498,64.48588876979198,64.39889201876744,53.25796193814691,53.203890123808314
gemma_seamlessm4t,-0.11560693641618498,63.040874416428494,62.95462233400069,51.55351916489573,51.49295487155804
tower_seamlessm4t,-0.11560693641618498,62.580348531221375,62.49251621375883,51.70390187488126,51.650688515577706
aya_canary-v2,-1.1560693641618496,49.779590332576994,49.7109304917341,38.37076579301343,38.14462652612973
gemma_canary-v2,-1.0404624277456647,48.876711612767565,48.74076533675883,37.45021003847565,37.188893060302206
tower_canary-v2,-0.23121387283236997,48.55571174828303,48.5390512586329,37.239040949656435,37.21275409285216
aya_owsm4.0-ctc,-0.5780346820809248,44.56003036361209,44.54823319402044,31.39821303803797,31.289644969164293
gemma_owsm4.0-ctc,-1.8497109826589597,42.155044179706906,41.983916357624736,29.551537512785437,29.149876455264973
tower_owsm4.0-ctc,-1.0404624277456647,42.45541154056615,42.407267542932765,30.554554723849186,30.380674352104954
desta2-8b,-0.46242774566473993,33.75880455391945,33.673253396756394,20.735791222693003,20.676615459176933
qwen2audio-7b,-6.242774566473988,52.25562343404472,51.00365568971358,37.40341352083521,35.9498877281786
phi4multimodal,-11.098265895953757,74.4792054859889,72.20435492289549,77.36947788582373,68.2065766438239
voxtral-small-24b,-0.11560693641618498,77.5807396395358,77.49850045104937,67.81352921028358,67.71832915399804
spirelm,,,,,
