system,en_de,en_it,en_zh,avg
canary-v2,5.591602878857884,2.4251016683398205,0.0,2.6722348490659016
owsm4.0-ctc,-2.5446126311855366,16.000090816399734,-0.8548726955260548,4.200201829896048
aya_whisper,4.984930853492159,3.9268371055188425,2.286396166996809,3.7327213753359367
gemma_whisper,3.2571751565162685,4.857320031562622,3.3162518574636266,3.810249015180839
tower_whisper,5.101826407461218,4.915235976480801,3.580709205666736,4.5325905298695846
aya_canary-v2,-0.5367345890685016,-0.3960918790140795,0.10680713909106032,-0.27533977633050694
gemma_canary-v2,-0.12869418985630432,2.3777630131476855,0.021726646331899246,0.7569318232077601
tower_canary-v2,-0.23585005250471625,1.194709294476624,0.7801265085158633,0.579661916829257
aya_owsm4.0-ctc,-1.214803355157187,-0.39056029670970815,-1.2213143197347307,-0.9422259905338753
gemma_owsm4.0-ctc,-2.0642467052782223,-1.4569864341172405,-0.7283454220721666,-1.4165261871558765
tower_owsm4.0-ctc,-1.3459092910128874,-1.882523263677939,0.06328411523547572,-1.0550494798184502
desta2-8b,67.45758420639186,61.86999191791304,62.09085826212551,63.806144795476804
qwen2audio-7b,69.63623838520674,64.73778631054148,73.9013799606489,69.42513488546571
phi4multimodal,-4.356784389525558,10.475056872031246,36.956870984119874,14.358381155541855
voxtral-small-24b,-0.020317656041754617,2.930654820407426,0.19670205478180947,1.035679739715827
