system,LinguaPy,metricx_qe_score,QEMetricX_24-Strict-linguapy,xcomet_qe_score,XCOMET-QE-Strict-linguapy
aya_canary-v2,-0.4807692307692308,85.46722236712678,85.2965802479392,76.25218281307473,76.16196344248377
aya_owsm4.0-ctc,-0.4807692307692308,84.57348417368932,84.2977186492286,73.30274441673492,73.11434824413692
aya_whisper,-1.201923076923077,85.91545860311733,85.19110841662265,77.07101405920605,76.87618610843157
canary-v2,-100.0,23.460501751074418,0.0,45.974085462960204,0.0
desta2-8b,-96.39423076923077,41.37596065837603,1.1621225843062746,15.497326301052594,0.6567673900952706
gemma_canary-v2,-0.2403846153846154,85.99976286370881,85.82283245908239,77.13604607225324,77.10698049945327
gemma_owsm4.0-ctc,-0.9615384615384616,82.18348624263533,81.59906451167683,71.12672841713692,70.93172577711252
gemma_whisper,-0.7211538461538461,84.05486978963017,83.61050449455013,74.08345503231081,73.99045585726316
owsm4.0-ctc,-1.201923076923077,71.30955283916913,71.01060367089052,59.384578706410075,58.92617608635471
phi4multimodal,-40.38461538461539,52.5804418556822,37.57192975304161,36.2928659377548,29.679577712578553
qwen2audio-7b,-83.89423076923077,42.691540190806755,5.69488662481308,19.647811150823074,4.797176391674348
tower_canary-v2,-0.2403846153846154,84.96228926944045,84.78535886481404,75.67439161491795,75.64532604211797
tower_owsm4.0-ctc,-1.4423076923076923,83.50239670677827,82.87684189757476,72.83403234413038,72.60717910786087
tower_whisper,-1.201923076923077,84.70484600208987,83.89932501824717,75.24099102458702,74.91266169370367
voxtral-small-24b,-0.2403846153846154,87.64431966468692,87.4724876717306,79.3777677660378,79.21164843182152
