system,accuracy_ne,accuracy_term
aya_canary-v2,57.87545787545788,68.63260706235913
aya_owsm4.0-ctc,52.62515262515263,65.81517655897822
aya_seamlessm4t,70.51282051282051,81.36739293764087
aya_whisper,25.274725274725274,33.47107438016529
canary-v2,70.94017094017094,80.954169797145
desta2-8b,8.302808302808302,10.668670172802404
gemma_canary-v2,16.483516483516482,17.731029301277236
gemma_owsm4.0-ctc,4.151404151404151,4.808414725770098
gemma_seamlessm4t,14.041514041514041,16.641622839969948
gemma_whisper,4.700854700854701,5.447032306536439
owsm4.0-ctc,46.52014652014652,69.98497370398196
phi4multimodal,62.698412698412696,71.29977460555973
qwen2audio-7b,5.372405372405373,6.799398948159278
seamlessm4t,65.62881562881563,75.69496619083395
spirelm,68.92551892551893,77.98647633358378
tower_canary-v2,71.73382173382173,83.20811419984973
tower_owsm4.0-ctc,54.21245421245421,66.190833959429
tower_seamlessm4t,71.30647130647131,82.64462809917356
tower_whisper,69.59706959706959,82.1938392186326
voxtral-small-24b,69.78021978021978,79.60180315552216
whisper,,
