direction,zh_en,zh_en,zh_en,zh_en,zh_en,zh_en,zh_en
accent,BEI,CHD,CMN,JNN,TYN,WHN,XIA
system,,,,,,,
whisper,0.1251767989661958,0.1104242615401744,0.142219895696649,0.1203565031290054,0.1687325505273682,0.1195713765919208,0.1156563991680741
seamlessm4t,0.1846138326865103,0.189408192038536,0.2299523869684586,0.1662874534726142,0.1553640977612563,0.1005740241768459,0.1254092771559953
canary-v2,0.0439990709225336,0.0604867905378341,0.0264541739597916,0.0726865097880363,0.1421266246054853,0.1158035844564437,0.0516187082976102
owsm4.0-ctc,0.2049743061264356,0.1357558920979499,0.1808396590252717,0.1494541153311729,0.1853364051452704,0.2005170707901319,0.1375577878206968
aya_whisper,0.5319392813576592,0.3334530644118786,0.5248450125671096,0.2996328756213188,0.1762872178639684,0.2133851279504597,0.2847855575382709
gemma_whisper,0.5212373360991478,0.2169024251401424,0.4737104641066657,0.1974765047430992,0.2136578341679913,0.1725791711360216,0.1922095390036702
tower_whisper,0.576547708776262,0.3107333689928054,0.5760276191350486,0.2876945383846759,0.2051161309438092,0.2424209459374348,0.2289017485454678
aya_seamlessm4t,0.5313348265157806,0.3595856942236423,0.5496050400866402,0.3738110139966011,0.2398360882486616,0.3365848921239376,0.3222325420938432
gemma_seamlessm4t,0.5292536492149035,0.3551198773086071,0.5162485610279772,0.276838643848896,0.2179365812667778,0.2580546271055937,0.2849053749814629
tower_seamlessm4t,0.5682807034916348,0.4339105598628521,0.5716909693761004,0.4009095422923565,0.2556055225431919,0.2973550196038559,0.2486954629421234
aya_canary-v2,0.1796732767899003,0.1380769735900685,0.1522598782450788,0.1624743941240012,0.1626586114455546,0.1580071228866776,0.2067265743389725
gemma_canary-v2,,,,,,,
tower_canary-v2,0.1035289251142078,0.1619619935750961,0.0716931590189536,0.0939244896173477,0.1209197246602603,0.1533449416359265,0.106505699455738
aya_owsm4.0-ctc,0.5296255780590905,0.2006671436131,0.539039940883716,0.2585100777447223,0.1959986266280923,0.1811411174324651,0.1355607323348522
gemma_owsm4.0-ctc,0.4858810181419055,0.195774994790554,0.4803652520188027,0.1620352149009704,0.1799617250050817,0.2211623229086399,0.2141849230974912
tower_owsm4.0-ctc,0.5099261792169677,0.1843328043818473,0.5574858811580472,0.2442608252167701,0.2024050599762371,0.2007306329905986,0.20707718282938
desta2-8b,0.3065285421907902,0.1857054822146892,0.3267163248771491,0.2321545138955116,0.2018542949642454,0.2157266934712728,0.2141484376043081
qwen2audio-7b,0.4304038186868031,0.4157090738415718,0.4243635132960561,0.3170696422457695,0.3458227297025067,0.2699889577925205,0.3918933067470789
phi4multimodal,0.4987459265523487,0.3492709659039974,0.4911751343558232,0.3714300587773323,0.2356423227382557,0.3583178992072741,0.3818576475605368
voxtral-small-24b,0.5430068141884274,0.4546311572194099,0.5634723652102467,0.3785095363855362,0.3883943472589765,0.5103623643517494,0.4566719643771648
spirelm,,,,,,,
