system,BEI,CHD,JNN,TYN,WHN,XIA,CMN-minus-X weighted
aya_canary-v2,0.017690198547724217,-0.04703847041819244,-0.01770858373492957,0.03383978640860213,-0.01087673623502875,-0.0003996593877673288,0.00015266572396891736
aya_owsm4.0-ctc,0.017031285497877333,0.3623951815068721,0.2932721309363842,0.3072788731328079,0.35205694862330955,0.3956090435385704,0.2577041141533603
aya_seamlessm4t,0.0215066596865654,0.21875493749976155,0.16026522368192672,0.29405299041952404,0.20637822027007735,0.24104783171787858,0.17637478679211605
aya_whisper,0.014078002836969158,0.20632269456982608,0.18170361518859862,0.35703621272529873,0.3126563946716487,0.21151206642389295,0.20244649158687228
canary-v2,0.010778200295236396,-0.0182552620768547,0.01100651323795319,0.014709706285170107,-0.010898424312472324,0.02882384322583675,0.005934245263536773
desta2-8b,0.03413329935736127,0.1237828318029642,0.043555198190733786,0.14142593102795734,0.15636387187987563,0.06943556666374204,0.0930499127587407
gemma_owsm4.0-ctc,-0.01548606902360915,0.28107738643884655,0.27930234745144844,0.23748955556324547,0.28697462628285086,0.358008136972785,0.20774531229916546
gemma_seamlessm4t,-0.018943130142158936,0.20134813264012336,0.21177700608968736,0.2741417570837906,0.2587835459659497,0.21770646329969165,0.1732682486375173
gemma_whisper,-0.03915163046783872,0.2906191550195217,0.2564580664038658,0.2606238621686186,0.2532902353753646,0.2593736415728926,0.18790623462862438
owsm4.0-ctc,-0.011610125734781228,0.019021251052618003,0.00857281833887097,0.004743158551199084,0.00465291490157445,-0.008307898417115187,0.001704645026216482
phi4multimodal,-0.05452431324455476,0.18587638214230534,0.12694403678178784,0.2601572421512433,0.1540293743213018,0.15745160263031718,0.12356851741464599
qwen2audio-7b,0.004721044252316154,-0.020488192141056055,0.11714556310325859,0.06932052065219195,0.15261300715307394,0.04526923410594461,0.058549302138595105
seamlessm4t,0.03191934101697472,0.10742539465427395,0.02959781438112259,0.06302657217851704,0.12693882361054415,0.10065082274377342,0.0716058986727148
tower_canary-v2,-0.007739853838251691,-0.01676435321569441,-0.00911450982093808,-0.005029030144214636,-0.0160151496529579,0.009630024433136012,-0.008106305858948152
tower_owsm4.0-ctc,0.044086385932233595,0.3871449247002602,0.29772083908319474,0.35208805331162046,0.32356953124205273,0.3072050120681524,0.2626655528114902
tower_seamlessm4t,0.010037534766727026,0.12853358164429665,0.17633730843663215,0.30268577113747597,0.27814128393462545,0.3023839946836233,0.1836632317669379
tower_whisper,0.013951768477757765,0.28302897512912745,0.2784229181706905,0.34687934443354607,0.34315443473557633,0.3325180960819125,0.24305499407152334
voxtral-small-24b,0.07938173082139756,0.1055846106261015,0.22331656813621517,0.09287505703313008,0.008860428662349791,0.1131155788898468,0.09763032661026551
whisper,-0.00947014428675174,0.137328902631998,0.20483028441667553,0.15185718078698426,0.1297595547075616,0.15303923096507785,0.11331330984103258
