system,BEI,CHD,JNN,TYN,WHN,XIA,CMN-minus-X weighted
aya_canary-v2,-0.6227709452311198,4.482637858390808,3.0819746971130373,-3.269905924797058,-2.3737860918045044,2.0977710485458374,0.09658751222822401
aya_owsm4.0-ctc,-1.0856310923894246,-9.726327872276306,-2.8645407915115357,-9.562738946505956,-4.4082734783490505,-0.7987149655818939,-4.703019347455767
aya_seamlessm4t,0.5622956885231866,-1.5379852056503296,-1.9810756206512452,-4.097108823912484,-0.972944438457489,-1.6699224710464478,-1.4925489226977031
aya_whisper,0.5844963126712376,-3.8911764144897463,-2.3971354722976685,-6.90344546522413,-4.357606093088786,-0.8836791515350344,-2.894043445587158
canary-v2,2.5200357172224255,8.876610279083252,1.866228699684143,-1.1059604031699044,-0.01728677749633804,2.3006575107574463,2.15976952513059
desta2-8b,-0.5232869254218206,-5.603092765808105,-4.016727066040039,-8.056696687425886,-6.225707987944285,-6.264718592166901,-4.767185572120878
gemma_owsm4.0-ctc,1.0265322923660278,-11.215168833732605,-3.944270372390747,-9.535511016845703,-9.749521732330322,-8.229231268167496,-6.242251055108176
gemma_seamlessm4t,-0.467428551779853,-2.4109344244003297,-1.6032273292541503,-5.054457017353603,-4.782630821069081,-3.942615181207657,-2.892364180750317
gemma_whisper,0.7250966893302069,-6.063441014289856,-5.259211564064026,-9.333504148891993,-5.443026642004649,-4.869011878967285,-4.654336919387181
owsm4.0-ctc,0.49001121520996094,-4.5260622024536135,-0.7803221702575683,-1.6874747957502092,-0.2566383679707845,-1.6869769096374512,-1.172830065091451
phi4multimodal,-1.9612784849272833,-2.1638220310211183,1.0460663795471192,-0.7035216859408787,-4.866703728834788,-2.7965272963047028,-1.904201888375812
qwen2audio-7b,-0.820540534125434,2.6947748184204103,-0.8554167747497559,-1.3736978939601354,-1.3743037581443787,-1.4479367434978485,-0.6067091491487291
seamlessm4t,-0.3326625559065076,-9.945915842056275,-3.203317975997925,-5.525301354272025,-7.041581829388936,-4.391139566898346,-4.6453136338127985
tower_canary-v2,4.338339156574673,8.57205924987793,7.70577187538147,0.7231936284473962,5.52713680267334,4.33195948600769,4.88853394985199
tower_owsm4.0-ctc,0.664007133907742,-14.71951265335083,-8.160596632957459,-12.311551025935582,-9.754300236701965,-7.501715391874313,-7.864944510989719
tower_seamlessm4t,-1.541418433189392,-2.2536734104156495,0.5148197174072265,-3.8424326351710727,-3.3418874740600586,-6.4996450543403625,-2.653165774212943
tower_whisper,0.5909054676691691,-8.07904360294342,-2.8703882455825807,-9.3797299351011,-8.571917156378428,-8.77434355020523,-5.600444353289074
voxtral-small-24b,-1.0177609655592177,-3.2480226039886473,-1.3435641288757325,-5.734899061066764,0.890240470568339,-0.6325048506259918,-1.929184787803226
whisper,-1.4439321888817682,-8.922552871704102,-4.103049343824386,-8.306852783475604,-4.661400596300761,-1.8970281258225439,-4.7729968428611755
