system,BEI,CHD,JNN,TYN,WHN,XIA,CMN-minus-X normalized (weighted)
aya_canary-v2,0.049163549552492435,-0.4227887920755926,-0.3796727128650748,0.23708432908087504,0.22219541757467418,-0.2516252352983809,-0.043988158636396074
aya_owsm4.0-ctc,0.07440782078219067,0.6644226888071733,0.18946796298050703,0.6695861579707734,0.2927215087230714,0.05472424456563779,0.32226257728818086
aya_seamlessm4t,-0.04025373638297287,0.10456206100016761,0.12431188779966366,0.2741647356908542,0.07189630697859646,0.12020168848520604,0.10037288506113287
aya_whisper,-0.037760266014675414,0.25313241691052085,0.17011762661405588,0.4383888393577885,0.2720349970232189,0.05665703053180576,0.18622132786838502
canary-v2,-0.3760567971291777,-3.0294687900742736,-0.3428152291232295,0.15233841515740612,0.003266167565486646,-0.8467923921642857,-0.6263093035364582
desta2-8b,0.03380584298938727,0.4002545107183155,0.2773326760682358,0.5381967223882952,0.43704506633299894,0.3867708578700054,0.323025539084259
gemma_owsm4.0-ctc,-0.0801578720689137,0.8139354689902902,0.28401719368649203,0.7545285540580038,0.6900472985574637,0.6477683112274539,0.46614998276178643
gemma_seamlessm4t,0.03176223352490952,0.16653914745488418,0.10376243178319101,0.3622326402369427,0.3393647385017983,0.2842932817826911,0.20406550104763096
gemma_whisper,-0.052371834096659686,0.38130870614606666,0.3402170309957612,0.630469712387179,0.4036862878778885,0.30618188233950777,0.311011539504856
owsm4.0-ctc,-0.3108791842201752,1.0,0.23600937914398065,0.8045687712613343,0.20608623787050587,0.4822918112974177,0.3383277863605659
phi4multimodal,0.10684490171740653,0.14506075339932736,-0.07309513234013343,0.047365324221289744,0.27964884943140195,0.1441370396980354,0.10853974293561693
qwen2audio-7b,0.045596308806702145,-0.17675837768234448,0.05402849037843348,0.07600528967146342,0.09115059784153545,0.08348572774730319,0.033600024124428716
seamlessm4t,0.025606440746311875,0.6833122709702039,0.311306918946951,0.47145831337179894,0.5876814093650579,0.30954753840723115,0.3685566866590124
tower_canary-v2,-0.7792919696359644,-1.7299160037285999,-1.2007125750782737,-0.07103702219229985,-0.81866917864596,-0.8839420490037706,-0.850328140110972
tower_owsm4.0-ctc,-0.04222521523736284,0.8174838110080395,0.46616534178106955,0.7899073497684383,0.6227529739184512,0.4819612231676147,0.4786648058713754
tower_seamlessm4t,0.10025100708835019,0.16433678561899276,-0.03443623665196981,0.28398929053170957,0.2522693777899821,0.42275591158779746,0.18734240987342543
tower_whisper,-0.03456847648212713,0.4491611633531135,0.19236743578466964,0.6327719921443969,0.528415514264396,0.48706526718705306,0.34568568907486497
voxtral-small-24b,0.05602940456561124,0.18801843925740447,0.07392921777298289,0.30994240320396876,-0.05203016136151499,0.03756841517477747,0.10615812336667331
whisper,0.10545612243640767,0.7037938797314574,0.29256978218481144,0.7301180373194425,0.40711427732139144,0.17479065402447663,0.39398883202142687
