system,BEI,CHD,JNN,TYN,WHN,XIA,CMN-minus-X weighted
aya_canary-v2,0.10780027177598742,4.482637858390808,3.9485960960388184,-3.255600265094212,-1.7192903757095337,3.0963817834854126,0.6224154233932495
aya_owsm4.0-ctc,-1.0856310923894246,-9.726327872276306,-2.8645407915115357,-9.562738946505956,-4.4082734783490505,-1.862546056509018,-4.821222802003224
aya_seamlessm4t,0.5622956885231866,-1.5379852056503296,-1.9810756206512452,-4.097108823912484,-0.972944438457489,-1.6699224710464478,-1.4925489226977031
aya_whisper,0.5844963126712376,-3.8911764144897463,-2.3971354722976685,-6.90344546522413,-4.357606093088786,-0.8836791515350344,-2.894043445587158
canary-v2,-0.6481228934393989,4.144555997848511,-0.9827156305313111,1.2571803161076136,2.6358090241750083,0.43660449981689453,1.0093786153528426
desta2-8b,-0.5232869254218206,-5.603092765808105,-4.016727066040039,-8.056696687425886,-6.225707987944285,-6.264718592166901,-4.767185572120878
gemma_owsm4.0-ctc,1.0265322923660278,-11.215168833732605,-7.760671854019165,-9.535511016845703,-9.749521732330322,-8.229231268167496,-6.7723068164454565
gemma_seamlessm4t,-0.467428551779853,-2.4109344244003297,-5.398529386520385,-5.054457017353603,-4.782630821069081,-3.942615181207657,-3.4194894664817386
gemma_whisper,0.7250966893302069,-6.063441014289856,-6.798055100440979,-9.333504148891993,-5.443026642004649,-6.274099707603455,-5.0241860581768885
owsm4.0-ctc,-0.09712643093532984,-0.5378362655639648,-0.9781454086303711,-1.5241801398141044,-0.06818914413452148,-1.043792486190796,-0.6585447788238525
phi4multimodal,-2.5996546149253845,-1.2865227222442628,1.0460663795471192,-0.2768356714929853,-4.866703728834788,0.13602259755134583,-1.5331431925296783
qwen2audio-7b,-1.4557580418056912,1.7112684249877934,-0.8554167747497559,0.5648750577654157,-0.7268284956614176,-2.59795281291008,-0.545033915175332
seamlessm4t,-0.3326625559065076,-9.945915842056275,-3.203317975997925,-5.525301354272025,-7.041581829388936,-5.407406151294708,-4.758232143190172
tower_canary-v2,2.447888294855754,10.567721748352051,3.84661545753479,0.6926736150469098,4.5912948449452715,2.514469861984253,3.7932512362798056
tower_owsm4.0-ctc,0.664007133907742,-14.71951265335083,-8.620411467552184,-12.311551025935582,-10.09036123752594,-9.00751182436943,-8.152128563986885
tower_seamlessm4t,-1.541418433189392,-2.2536734104156495,0.5148197174072265,-3.8424326351710727,-3.3418874740600586,-7.302948296070099,-2.7424216899606915
tower_whisper,0.5909054676691691,-8.07904360294342,-2.8703882455825807,-9.3797299351011,-8.571917156378428,-8.77434355020523,-5.600444353289074
voxtral-small-24b,-1.0177609655592177,-3.2480226039886473,-1.3435641288757325,-5.734899061066764,-0.32915008068084717,-0.6325048506259918,-2.132416546344757
whisper,-0.21692591243320042,-5.848441028594971,-2.058248233795166,-2.630843298775809,-2.235543171564738,0.0016790255904199913,-2.0363395983974137
