direction,zh_en,zh_en,zh_en,zh_en,zh_en,zh_en,zh_en
accent,BEI,CHD,CMN,JNN,TYN,WHN,XIA
system,,,,,,,
whisper,0.3271452784538269,0.1441460661590099,0.3244399117853997,0.1717361897230148,0.1687325505273682,0.1795576028525829,0.2045913534238934
seamlessm4t,0.1846138326865103,0.189408192038536,0.2299523869684586,0.1662874534726142,0.1553640977612563,0.1005740241768459,0.1423695068806409
canary-v2,0.1974461264908313,0.2047250732779502,0.2018715844800075,0.1935191422700882,0.1967021849538598,0.2040625574688116,0.1710543390363454
owsm4.0-ctc,0.218426468471686,0.1804633885622024,0.211310013604816,0.2139511480927467,0.2011129488902432,0.2175566355387369,0.2236879784613847
aya_whisper,0.5319392813576592,0.3334530644118786,0.5248450125671096,0.2996328756213188,0.1762872178639684,0.2133851279504597,0.2847855575382709
gemma_whisper,0.5212373360991478,0.2169024251401424,0.4737104641066657,0.2194950953125953,0.2136578341679913,0.1725791711360216,0.2211871920153498
tower_whisper,0.576547708776262,0.3107333689928054,0.5760276191350486,0.2876945383846759,0.2051161309438092,0.2424209459374348,0.2289017485454678
aya_seamlessm4t,0.5313348265157806,0.3595856942236423,0.5496050400866402,0.3738110139966011,0.2398360882486616,0.3365848921239376,0.3222325420938432
gemma_seamlessm4t,0.5292536492149035,0.3551198773086071,0.5162485610279772,0.3189807370305061,0.2179365812667778,0.2580546271055937,0.2849053749814629
tower_seamlessm4t,0.5682807034916348,0.4339105598628521,0.5716909693761004,0.4009095422923565,0.2556055225431919,0.2973550196038559,0.2767507340759039
aya_canary-v2,0.1796732767899003,0.1380769735900685,0.1709345414096282,0.1624743941240012,0.1626586114455546,0.1771357695882519,0.2067265743389725
gemma_canary-v2,,,,,,,
tower_canary-v2,0.2027323361900117,0.2259418070316314,0.2053705066080308,0.2241055339574814,0.2145379845585142,0.2221186570823192,0.1939649209380149
aya_owsm4.0-ctc,0.5296255780590905,0.2006671436131,0.539039940883716,0.2585100777447223,0.1959986266280923,0.1811411174324651,0.1516840904951095
gemma_owsm4.0-ctc,0.4858810181419055,0.195774994790554,0.4803652520188027,0.2038135975599289,0.1799617250050817,0.2211623229086399,0.2141849230974912
tower_owsm4.0-ctc,0.5099261792169677,0.1843328043818473,0.5574858811580472,0.263780477643013,0.2024050599762371,0.2189150787889957,0.2633259762078523
desta2-8b,0.3065285421907902,0.1857054822146892,0.3267163248771491,0.2321545138955116,0.2018542949642454,0.2157266934712728,0.2141484376043081
qwen2audio-7b,0.4538691987593968,0.448136268556118,0.4421395137129972,0.3170696422457695,0.3458227297025067,0.2968109597762425,0.424192601814866
phi4multimodal,0.5187153369188309,0.372666759043932,0.5045617498043511,0.3714300587773323,0.2356423227382557,0.3583178992072741,0.3818576475605368
voxtral-small-24b,0.5430068141884274,0.4546311572194099,0.5634723652102467,0.3785095363855362,0.3883943472589765,0.5286833842595419,0.4566719643771648
spirelm,,,,,,,
