system,BEI,CHD,JNN,TYN,WHN,XIA,CMN-minus-X weighted
aya_canary-v2,-0.01661171738265289,-0.04703847041819244,-0.02943700384348631,0.019514550837422064,-0.008902686900304014,-0.02583073358982802,-0.015333889656984762
aya_owsm4.0-ctc,0.017031285497877333,0.3623951815068721,0.2932721309363842,0.3072788731328079,0.35205694862330955,0.41173240169882774,0.2594955983933889
aya_seamlessm4t,0.0215066596865654,0.21875493749976155,0.16026522368192672,0.29405299041952404,0.20637822027007735,0.24104783171787858,0.17637478679211605
aya_whisper,0.014078002836969158,0.20632269456982608,0.18170361518859862,0.35703621272529873,0.3126563946716487,0.21151206642389295,0.20244649158687228
canary-v2,-0.03243345187769995,-0.060486790537834165,-0.03116134852170944,-0.07422032792653355,-0.10739265196025367,-0.022912655025720586,-0.05571362748742102
desta2-8b,0.03413329935736127,0.1237828318029642,0.043555198190733786,0.14142593102795734,0.15636387187987563,0.06943556666374204,0.0930499127587407
gemma_owsm4.0-ctc,-0.01548606902360915,0.28107738643884655,0.32108073011040683,0.23748955556324547,0.28697462628285086,0.358008136972785,0.21354786544624302
gemma_seamlessm4t,-0.018943130142158936,0.20134813264012336,0.25391909927129747,0.2741417570837906,0.2587835459659497,0.21770646329969165,0.17912131713496315
gemma_whisper,-0.03915163046783872,0.2906191550195217,0.278476656973362,0.2606238621686186,0.2532902353753646,0.28835129458457226,0.19418411143124104
owsm4.0-ctc,-0.009055060644944518,-0.024006973206996917,0.02710530608892439,0.019675452262163145,0.001376479864120475,0.027184339240193374,0.005242236682938196
phi4multimodal,-0.03455490287807256,0.14742621704936026,0.12694403678178784,0.25022316058831556,0.1540293743213018,0.1316641541197896,0.1184236702716185
qwen2audio-7b,0.02818642432490984,0.011939002573490143,0.11714556310325859,0.03506299161485262,0.11274612384537856,0.07756852917373178,0.059202568010530525
seamlessm4t,0.03191934101697472,0.10742539465427395,0.02959781438112259,0.06302657217851704,0.12693882361054415,0.11761105246841903,0.07349036864211987
tower_canary-v2,-0.01900757269726858,-0.13725195527076717,-0.02887904495000837,-0.030921974352427883,-0.06171412020921704,-0.05857696011662482,-0.05063248715466921
tower_owsm4.0-ctc,0.044086385932233595,0.3871449247002602,0.31724049150943756,0.35208805331162046,0.3417539770404498,0.36345380544662476,0.2746572225458092
tower_seamlessm4t,0.010037534766727026,0.12853358164429665,0.17633730843663215,0.30268577113747597,0.27814128393462545,0.3304392658174038,0.18678048411513576
tower_whisper,0.013951768477757765,0.28302897512912745,0.2784229181706905,0.34687934443354607,0.34315443473557633,0.3325180960819125,0.24305499407152334
voxtral-small-24b,0.07938173082139756,0.1055846106261015,0.22331656813621517,0.09287505703313008,0.027181448570142208,0.1131155788898468,0.10068382992823091
whisper,-0.003499777159757078,0.04609973207116125,0.06328098028898238,-0.03139391275388853,-0.020859291510229628,0.07693677302449939,0.013284431142286236
