system,en_de,en_fr,en_pt,en_zh,avg
canary-v2,8.577872266169067,7.759902198261656,10.237610474909445,0.0,6.643846234835042
owsm4.0-ctc,0.23874673147041392,16.02981398337019,27.295608086941336,1.5949792708628507,11.289787018161197
aya_whisper,2.3292148646612105,6.512749625477369,1.5966667904016987,2.046517607326109,3.121287221966597
gemma_whisper,3.068303239890014,2.6602100907251724,3.437167901760688,3.3187845707512906,3.1211164507817912
tower_whisper,4.189091217990679,4.575050810172854,4.1110671016459435,3.0494658679056528,3.9811687494287824
aya_canary-v2,-2.1747400018816307,-2.397880593780428,-3.5076813413403443,-0.34836160448881515,-2.1071658853728046
gemma_canary-v2,-0.5055970965096606,-2.5602618168251468,-2.2904459786099807,-0.3375334334201483,-1.423459581341234
tower_canary-v2,-0.0910811082889893,-2.583707185068107,-2.681502762465527,0.5145328985527158,-1.210439539317477
aya_owsm4.0-ctc,-3.075460425291496,-0.9299429573763547,-3.0167344231158495,-0.42749863125096965,-1.8624091092586674
gemma_owsm4.0-ctc,-1.6995546134690187,-5.002393854316324,-1.943194518295627,2.2586578757573648,-1.5966212775809012
tower_owsm4.0-ctc,-2.574576024180999,-3.154356050412531,-3.2223299038954707,0.41163472286783076,-2.1349068139052925
desta2-8b,58.76095195383263,53.037608891689715,59.712813636144766,60.292508824943354,57.950970826652615
qwen2audio-7b,71.357171050452,64.9786426843359,62.71593772913687,74.77967730708994,68.45785719275368
phi4multimodal,0.8170502909387523,-31.773555306001356,4.178953668174252,32.1707989483212,1.3483119003582118
voxtral-small-24b,-0.07798579621774593,-0.5089530105559277,-1.3116586763555063,0.31390036678372724,-0.39617427908636316
