system,LinguaPy,,,,,,,metricx_qe_score,,,,,,,QEMetricX_24-Strict-linguapy,,,,,,,xcomet_qe_score,,,,,,,XCOMET-QE-Strict-linguapy,,,,,,
,en-es,en-fr,en-pt,en-it,en-de,en-nl,en-zh,en-es,en-fr,en-pt,en-it,en-de,en-nl,en-zh,en-es,en-fr,en-pt,en-it,en-de,en-nl,en-zh,en-es,en-fr,en-pt,en-it,en-de,en-nl,en-zh,en-es,en-fr,en-pt,en-it,en-de,en-nl,en-zh
whisper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seamlessm4t,1.6574585635359116,5.625283735547724,5.772108139756893,0.8493227963530603,0.8372973973444577,1.6474464579901154,7.02569627942275,7.122883109949664,0.7495433900818302,0.7376437961834267,1.9017432646592711,6.684456307346536,6.822128772092083,0.8396549955152105,0.8267754985406263,3.0973451327433628,7.582643659821654,7.768187986063746,0.787228100199615,0.7641707706372295,3.2721468475658417,7.378416438565455,7.646013888795782,0.8453116083349691,0.8166771831387819,3.724696356275304,8.29155393738737,8.54371990010082,0.798134297571194,0.768035129712412,1.8355945730247407,7.111055173598236,7.244571380971292,0.6576175536047623,0.6437069974893203
canary-v2,0.6314127861089187,2.6700670246472957,2.8017841579529272,0.9218987180853605,0.9166630849230449,0.16474464579901155,3.0161362745518345,3.0416973028485423,0.8774782173716059,0.8770333081422469,0.07923930269413629,3.1278923756004606,3.14533983437247,0.9261028233992317,0.925359254747204,0.08849557522123894,2.858286708098861,2.8694222609355915,0.904225478611425,0.9041330737811801,0.1596169193934557,1.8750910571429222,1.9112643001204193,0.9479133105061573,0.9470295154468021,0.4858299595141701,2.6323117590354763,2.730718924047855,0.9294483337747423,0.9253962976488507,100.0,20.267727324321378,25.0,0.9256448036703413,0.0
owsm4.0-ctc,1.1838989739542225,9.898078762929837,10.077853717950733,0.6461284014968982,0.6389815891213015,0.08237232289950577,12.169803981824211,12.18710027406793,0.4255141129738711,0.4253801834114399,1.5847860538827259,11.361488050638023,11.527766526453846,0.6055829361754155,0.5995649154963659,0.9734513274336283,12.061853255568879,12.20663527359741,0.5150015191549014,0.5120060884701788,0.23942537909018355,9.175034565370938,9.21445653910458,0.7501530408240848,0.7485912183131681,1.1336032388663968,14.31906029153389,14.453295183407995,0.4746028957066507,0.4693291189850342,0.23942537909018355,9.412105447860213,9.431825616708396,0.46174838094238463,0.4614658954018892
aya whisper,0.5524861878453038,2.4667453127953607,2.5887595102273298,0.923052919797758,0.9182494857716768,0.16474464579901155,2.5682655828260805,2.5966783198397576,0.8879891288155288,0.8874229149527761,0.15847860538827258,2.904660981242942,2.9364459415257165,0.9263741041101197,0.9254869411621248,0.2654867256637168,2.4733610685420246,2.528567075149148,0.9136015972270902,0.9117308883078857,0.07980845969672785,1.4199602593625438,1.4396690261466258,0.9590255187174747,0.9582274341205074,0.08097165991902834,2.313369545087158,2.3200584453127164,0.9362014005360333,0.9361151293583727,0.0,2.568537773301339,2.568537773301339,0.8580662549992893,0.8580662549992893
gemma whisper,0.31570639305445936,2.4725006843498822,2.540495987875709,0.9201144387485385,0.9177754014765737,0.2471169686985173,2.6930619684436174,2.7344359239989884,0.8769565084350757,0.8756018622028081,0.554675118858954,3.102295752570458,3.211361311798216,0.9203428293322988,0.9164702342542718,0.08849557522123894,2.4761728424809677,2.496814005129633,0.9107321396140399,0.9098908868313363,0.07980845969672785,1.583036243766903,1.6027450105509848,0.9542666218776467,0.9534685372806794,0.32388663967611336,2.4581941455391494,2.523178418858452,0.9298155904721151,0.9272985971649649,0.07980845969672785,2.578009551362761,2.589109403264827,0.8465163402158264,0.8463558126107179
tower whisper,0.6314127861089187,2.5464680764144956,2.6871029713030112,0.9212244636325523,0.9156248163190783,0.16474464579901155,2.76958056865797,2.7974284468878436,0.887105703132942,0.8862195331572602,0.39619651347068147,3.0335427432124713,3.1153332487297747,0.9252481006983249,0.9222587484057562,0.08849557522123894,2.473528843735699,2.494469670476639,0.9140871689382908,0.9135300869435335,0.07980845969672785,1.3986324527124738,1.4183412194965557,0.9597038610259343,0.958905776428967,0.24291497975708504,2.098265380795427,2.1575093517479624,0.9416833174494114,0.9392933430097363,0.0,2.530190176515582,2.530190176515582,0.8632746672366299,0.8632746672366299
aya seamlessm4t,0.7103393843725335,2.579753716973898,2.726349414115288,0.9191451573004945,0.9133784224021219,0.08237232289950577,2.764289383606178,2.764289383606178,0.8878603957691636,0.8877968051865133,0.2377179080824089,3.0465796871963895,3.086925407281225,0.9233847724099639,0.9222978465377151,0.08849557522123894,2.599141859526919,2.619140710180576,0.9109545094183589,0.9106891881509692,0.23942537909018355,1.5883080688114177,1.6228025093413028,0.9550485674586185,0.9536056980217159,0.16194331983805668,2.445495594404487,2.4773501702527767,0.9308175769593069,0.9293474199499195,0.07980845969672785,2.8001803456072034,2.804381528332627,0.8547845798688037,0.8546322188373575
gemma seamlessm4t,0.5524861878453038,2.5956939821202827,2.7019515100693083,0.91518075929421,0.9114007314089347,0.08237232289950577,2.8443201847828594,2.844815521965899,0.8775428300278485,0.8774569652778215,0.6339144215530903,3.1930348816757252,3.313954608405685,0.9197958863285708,0.9151839894787209,0.0,2.6108307989561452,2.6108307989561452,0.9073029049952407,0.9073029049952407,0.23942537909018355,1.7400604045079502,1.774868899960805,0.94963475085456,0.9481923802616781,0.24291497975708504,2.603616198984838,2.643679160473921,0.9258104269321148,0.924102195711271,0.1596169193934557,2.6990271611176344,2.7110689372769707,0.8478049488778316,0.847551451952859
tower seamlessm4t,0.5524861878453038,2.67395969599356,2.7872383641762677,0.9186331939787237,0.9143533176141949,0.08237232289950577,2.9267430075703578,2.9344078577330714,0.8832298093145526,0.8830371118922407,0.4754358161648178,3.138087279914558,3.2095310520794,0.9229883842890501,0.9204908864906208,0.17699115044247787,2.6319714759303405,2.6548034665858853,0.9108995526204858,0.909900251146307,0.3192338387869114,1.570368560769871,1.6123205137313459,0.9551273203987839,0.953497196167874,0.24291497975708504,2.242352504234927,2.285915040134298,0.9360273272945331,0.9342168909516412,0.1596169193934557,2.691274284145067,2.713289207271215,0.8635857062918229,0.8629388081033231
