direction,system,METRICX_QE_24_diff,XCOMET_QE_diff,METRICX_QE_NON_DISFLUENT,XCOMET_QE_NON_DISFLUENT,METRICX_QE_DISFLUENT,XCOMET_QE_DISFLUENT,LINGUAPY_NON_DISFLUENT,LINGUAPY_DISFLUENT
en_es,seamlessm4t,0.54455530623199,0.7585819732280724,52.007565316145985,53.1721989798352,33.67154617662783,30.23583761764129,-3.252032520325203,-6.552706552706553
en_es,canary-v2,0.08139038878450412,0.17867616854222865,71.67707829213724,63.658838028587944,66.28233340662769,54.00875976589937,-0.8130081300813008,-0.5698005698005698
en_es,owsm4.0-ctc,0.3837233354933653,0.5308084373273435,38.98475213554816,36.423507665957864,28.173805511235514,23.793641828594893,-2.4390243902439024,-0.2849002849002849
en_es,aya_whisper,0.039934733538453594,0.07725128129008296,76.86516636585802,69.56741157464865,73.91345234168561,64.57862968734356,-0.0,-0.0
en_es,gemma_whisper,0.03431897928279614,0.05473548463752073,75.7635079808836,65.64201459409745,73.24965460212142,62.2355230768182,-0.8130081300813008,-0.5698005698005698
en_es,tower_whisper,0.03516175221889718,0.0492121014479338,76.04784345457225,67.49523856896695,73.46469601640675,64.32945109556225,-0.0,-0.0
en_es,aya_seamlessm4t,0.1110545254057634,0.22737733357923265,75.79717669278625,68.83574586089064,68.22093332017589,56.08360524318497,-0.0,-0.0
en_es,gemma_seamlessm4t,0.16291740993021334,0.372778784058674,75.93001006313456,66.62707562611355,65.29269354363791,48.53445901103454,-0.0,-0.0
en_es,tower_seamlessm4t,0.12124396442357532,0.23763749842238727,74.36203160348947,67.2600738885926,66.32100948852691,54.34553653580213,-1.6260162601626016,-0.2849002849002849
en_es,aya_canary-v2,0.07726319070863674,0.17544516325173334,77.52576446048613,69.87518634253401,71.96548172177752,59.44572195033954,-0.0,-0.0
en_es,gemma_canary-v2,0.09120950068492681,0.22837218600167933,75.43872773647308,67.33909263843444,69.1331295128222,54.819779709944015,-0.8130081300813008,-0.0
en_es,tower_canary-v2,0.09515370466828825,0.21274580780034968,76.92479640584651,69.06316512362744,70.24109591004516,56.94776653064059,-0.8130081300813008,-0.0
en_es,aya_owsm4.0-ctc,0.09390731111485726,0.16810307525923016,76.7586199057296,68.05328824898092,70.16921737866524,58.25966020496801,-0.0,-0.0
en_es,gemma_owsm4.0-ctc,0.12058858033033217,0.3200865863838165,75.26299919369744,68.05816389680878,67.16381062129963,51.5558332300339,-0.8130081300813008,-0.0
en_es,tower_owsm4.0-ctc,0.09799054146908077,0.21729507353427166,75.3449951131654,68.72188727545544,68.62080525061344,56.45458424137839,-0.8130081300813008,-0.0
en_es,desta2-8b,0.05513451508748207,0.04143557219642931,69.5613243817314,55.83427439375622,65.92649883694119,53.61279745419056,-1.6260162601626016,-0.5698005698005698
en_es,qwen2audio-7b,0.12432262071236784,0.3120930196886448,62.79320980862873,56.692619936737586,55.8498145032812,43.207774971770334,-8.130081300813009,-5.128205128205129
en_es,phi4multimodal,0.21211016438219965,0.44481847179485723,68.47274630389563,63.93726259712281,56.49053057714065,44.25279981207283,-3.252032520325203,-3.7037037037037037
en_es,voxtral-small-24b,0.015230168950495147,0.026609980736415104,77.3571747621385,69.12829779027923,76.1966863554767,67.33647547503058,-1.6260162601626016,-0.0
en_es,spirelm,0.1344714856449617,0.32491813942260034,68.65529696388943,61.87803164366784,60.51742845247274,46.70328664277651,-0.8130081300813008,-0.2849002849002849
