direction,system,METRICX_QE_24_diff,XCOMET_QE_diff,METRICX_QE_NON_DISFLUENT,XCOMET_QE_NON_DISFLUENT,METRICX_QE_DISFLUENT,XCOMET_QE_DISFLUENT,LINGUAPY_NON_DISFLUENT,LINGUAPY_DISFLUENT
en_de,seamlessm4t,0.6918900986034227,0.6516447373091129,44.57983463178805,60.80663106063517,26.349131464618566,36.8158052921855,-0.8130081300813008,-1.9943019943019944
en_de,canary-v2,0.09647629145511583,0.16161565822910726,78.23022577723836,77.04403253832484,71.34693781059352,66.32489153579344,-0.0,-0.2849002849002849
en_de,owsm4.0-ctc,0.2439858971282942,0.2919856826210141,61.16308417552855,66.82044623828516,49.16702377150881,51.719184768927505,-0.0,-0.0
en_de,aya_whisper,0.009862294887035003,0.029624841383055916,81.37474648690805,79.85246147566694,80.58004234726951,77.55490958085682,-0.0,-0.0
en_de,gemma_whisper,0.03598312125485315,0.051663960547056444,81.37480237910418,78.77892596207982,78.54838627152293,74.90883867609237,-0.0,-0.0
en_de,tower_whisper,0.04291746226908034,0.04424033766127945,83.12486187713903,80.54716021307115,79.70416153190482,77.13469524981926,-0.0,-0.0
en_de,aya_seamlessm4t,0.05014409998546554,0.089019648762434,80.977442455001,78.79982685170522,77.11079122962435,72.35849871143614,-0.8130081300813008,-0.0
en_de,gemma_seamlessm4t,0.11164055057651655,0.21442316932420094,80.26489471129285,78.23718356165459,72.20400035754908,64.42332914744357,-0.0,-0.0
en_de,tower_seamlessm4t,0.08900509405976662,0.1555298260394705,81.9998268402689,81.01677943051347,75.29792770259401,70.112235621122,-0.0,-0.0
en_de,aya_canary-v2,0.06228572860297537,0.10394711632925062,82.64988894094296,81.01699601828567,77.80382124650852,73.38847560712543,-0.0,-0.0
en_de,gemma_canary-v2,0.10936809721225473,0.16353733894830194,81.7193526924868,78.79395521268611,73.6629734511389,67.7193181302685,-0.0,-0.2849002849002849
en_de,tower_canary-v2,0.07677617141559404,0.115598208777469,82.80061425583634,80.80814574065248,76.89677432867197,72.43481130111017,-0.0,-0.0
en_de,aya_owsm4.0-ctc,0.068039401836654,0.08849828825460852,82.69791461054872,79.87183468734345,77.42964769683333,73.37800669895108,-0.0,-0.0
en_de,gemma_owsm4.0-ctc,0.10923901671009596,0.18958642003941825,81.18853240236034,79.48463865654256,73.19300094866685,66.8170360030747,-0.0,-0.0
en_de,tower_owsm4.0-ctc,0.08125599331945284,0.12461225841778577,81.87909134858992,80.79221005119929,75.7259075135587,71.84005815912558,-0.0,-0.0
en_de,desta2-8b,0.06444771019512155,0.1167946684637802,75.64669264913574,73.8833841754169,71.06661222021805,66.15664119980805,-0.0,-0.2849002849002849
en_de,qwen2audio-7b,0.1164069889020174,0.15631347440460883,66.20024454448281,64.81533463650602,59.29759057634576,56.0534284787088,-6.504065040650406,-5.413105413105413
en_de,phi4multimodal,0.10577396544628959,0.20993608866785596,69.95350345702676,69.3869282801946,63.262027903499764,57.34759788559564,-9.75609756097561,-8.262108262108262
en_de,voxtral-small-24b,0.015571801951968311,0.011893493379903747,82.9313205199513,79.92511027591016,81.65973135582742,78.98569444195763,-0.8130081300813008,-0.0
en_de,spirelm,0.11161201151837692,0.199500289212116,75.21708427260562,72.11152303025005,67.6648718196782,60.11797052388878,-0.0,-0.2849002849002849
