direction,system,METRICX_QE_24_diff,XCOMET_QE_diff,METRICX_QE_NON_DISFLUENT,XCOMET_QE_NON_DISFLUENT,METRICX_QE_DISFLUENT,XCOMET_QE_DISFLUENT,LINGUAPY_NON_DISFLUENT,LINGUAPY_DISFLUENT
en_fr,seamlessm4t,0.3853471066177176,0.45744549825954406,47.10756157859554,43.11613759131936,28.95479902446779,23.392854547831217,-1.6260162601626016,-2.5641025641025643
en_fr,canary-v2,0.0973465734425398,0.1604581118773183,70.83000515728462,54.598373453306955,63.93494685830554,45.837621537416624,-0.0,-0.5698005698005698
en_fr,owsm4.0-ctc,0.2905554785450115,0.3315055133075022,32.67901920496932,26.104738757135422,23.18395114148784,17.450873935692996,-2.4390243902439024,-0.0
en_fr,aya_whisper,0.034609901936978514,0.053692115186108176,74.9131792018084,61.12858679115288,72.32044141584652,57.846463667998286,-0.0,-0.0
en_fr,gemma_whisper,0.028319717936661708,0.005623909479456038,74.13720641921206,57.090328088620815,72.03766164480791,56.769257251297965,-0.0,-0.0
en_fr,tower_whisper,0.031122831776062954,0.05056365464672004,73.96334762786462,58.810479975328214,71.66139880204813,55.83680717624787,-0.0,-0.0
en_fr,aya_seamlessm4t,0.09502765068056583,0.18627624539152246,74.62931533363776,60.18817367834774,67.53746682558304,48.97654666857226,-0.0,-0.0
en_fr,gemma_seamlessm4t,0.12710546586780092,0.2637724043144498,73.70480497120842,56.91956331332525,64.33652139864756,41.905753245640895,-0.0,-0.0
en_fr,tower_seamlessm4t,0.11427519482880207,0.21233689627331118,73.10175767952833,59.21789068516677,64.74804007837236,46.643747573226236,-0.0,-0.2849002849002849
en_fr,aya_canary-v2,0.06495920636904835,0.14251212442331393,74.98579719565748,60.80247258267752,70.11477932087716,52.137383044729845,-0.0,-0.0
en_fr,gemma_canary-v2,0.10861456894810273,0.2529945834293134,75.27303437900737,59.866398397257655,67.09728619651577,44.72052387333014,-0.0,-0.2849002849002849
en_fr,tower_canary-v2,0.09662666823229257,0.20439554578332036,75.4169130034563,61.949669484927405,68.12962797156766,49.28743297945936,-0.0,-0.0
en_fr,aya_owsm4.0-ctc,0.07322823779099877,0.18018544679374093,74.9603847090791,61.790146533308956,69.4711678326979,50.65646137275396,-0.0,-0.0
en_fr,gemma_owsm4.0-ctc,0.1229922155202157,0.27919553279577736,74.21482239118437,59.37909594759709,65.08697696085329,42.80071761757613,-0.0,-0.0
en_fr,tower_owsm4.0-ctc,0.09012593579361222,0.18309891429274058,74.24713229648466,60.22571010923967,67.55554001827186,49.198447975728556,-0.0,-0.0
en_fr,desta2-8b,0.05442830809233224,0.10305398761538301,67.90606348495173,45.965453461418306,64.2100513402553,41.22853018966984,-0.8130081300813008,-0.8547008547008547
en_fr,qwen2audio-7b,0.13760475942506645,0.2900856363230291,63.09478494209972,49.39583563586561,54.412642239165784,35.06681322372778,-4.065040650406504,-4.5584045584045585
en_fr,phi4multimodal,-0.001931156519567692,0.20538060315231188,40.814118877659,31.854019574518126,40.89293732942,25.311821821478045,-36.58536585365854,-23.36182336182336
en_fr,voxtral-small-24b,0.03335805623036465,0.03102900012851306,76.39719249271765,61.58045318916561,73.84873064970358,59.6696732992451,-0.8130081300813008,-0.0
en_fr,spirelm,0.1370417150941874,0.2850266177029613,68.68143536598701,53.2770213799748,59.269213668301575,38.09165217475223,-0.8130081300813008,-0.5698005698005698
