direction,system,METRICX_QE_24_diff,XCOMET_QE_diff,METRICX_QE_NON_DISFLUENT,XCOMET_QE_NON_DISFLUENT,METRICX_QE_DISFLUENT,XCOMET_QE_DISFLUENT,LINGUAPY_NON_DISFLUENT,LINGUAPY_DISFLUENT
en_zh,seamlessm4t,0.2421509947453586,0.3811721044869689,56.57766308823252,45.08689032579825,42.87732569104926,27.901025455540573,-0.8130081300813008,-4.843304843304844
en_zh,canary-v2,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0
en_zh,owsm4.0-ctc,0.1441556949451647,0.2609657840078705,64.9545614922919,46.91658650290191,55.59099154051213,34.672962723199035,-0.0,-0.0
en_zh,aya_whisper,0.027368054152084872,0.07280786709711305,82.42372937028001,63.823899329920124,80.1679522814574,59.17701734988778,-0.0,-0.2849002849002849
en_zh,gemma_whisper,0.025913413535374373,0.0937854328005924,81.90438325715259,62.83555327028763,79.7819611034502,56.94249371156903,-0.0,-0.0
en_zh,tower_whisper,0.03518168547644837,0.07131041014533782,82.57554171143508,64.79071554371981,79.67039497489603,60.17046304468724,-0.0,-0.0
en_zh,aya_seamlessm4t,0.03854288002732394,0.08351520289581824,81.32816373041975,60.4294687751832,78.19354207291562,55.382689429537265,-0.8130081300813008,-0.2849002849002849
en_zh,gemma_seamlessm4t,0.05459356748869121,0.16364829628776834,80.89324982282592,60.06463891485842,76.47699872924392,50.23516308930185,-0.0,-0.2849002849002849
en_zh,tower_seamlessm4t,0.07135646666280254,0.16524753262349315,82.22326226932246,64.36350947109665,76.35610079629468,53.727598340009095,-0.0,-0.2849002849002849
en_zh,aya_canary-v2,0.039435475247953926,0.1398578575341982,82.19430124614297,63.96112993238418,78.95292991382783,55.015663334574455,-0.8130081300813008,-0.0
en_zh,gemma_canary-v2,0.06404353712875789,0.1695583122655141,82.636689505926,62.81459037729395,77.34434361335559,52.16385444727039,-0.0,-0.5698005698005698
en_zh,tower_canary-v2,0.06292222293343921,0.1683265819473094,83.61001821455918,65.62621389947286,78.34909000899377,54.579577627631586,-0.0,-0.0
en_zh,aya_owsm4.0-ctc,0.04372241145163171,0.13715919807753105,82.38590327850203,63.18530793475911,78.78379291754503,54.51886176814569,-0.0,-0.0
en_zh,gemma_owsm4.0-ctc,0.04824631029827076,0.14717424384888358,81.29991109681323,60.68288276835186,77.37749035881455,51.75192538234923,-0.8130081300813008,-0.0
en_zh,tower_owsm4.0-ctc,0.06280222421587896,0.16753890953965023,82.6127986694739,63.36928833790911,77.42453116433234,52.752466871472144,-0.0,-0.0
en_zh,desta2-8b,0.1269927243200146,0.178403107743209,58.76734870429931,40.68151647603609,51.30432299127606,33.42380750900469,-20.32520325203252,-28.205128205128204
en_zh,qwen2audio-7b,0.04954728427130068,0.1751033458605252,76.75839895349208,55.35978670648443,72.9552287403335,45.66610282805398,-0.8130081300813008,-1.7094017094017093
en_zh,phi4multimodal,-0.0007168061496602381,0.1187187701310578,61.39250885568014,45.94986579888235,61.43651538357096,40.49475424355188,-20.32520325203252,-13.675213675213675
en_zh,voxtral-small-24b,0.02479631659963637,0.05971410493946007,82.55740412463987,64.31341882401365,80.51028459432118,60.473000583341054,-0.0,-0.0
en_zh,spirelm,0.04279615982806296,0.19645598081695415,75.12458651046443,49.979746329590554,71.90954269914545,40.16092624342828,-0.8130081300813008,-0.0
